id,fingerprint,severity,category,file,line,excerpt,issue,blast_radius,fix_cost_lines,risk,score,status
Q001,3201aeb9,P1,correctness,app/lib/cartography/semantic_checks.py,518,or (_is_num(center) and float(mn) <= float(center) <= float(mx)),_classification_integrity TypeError(float(None)) for divergent legend with numeric center but non-numeric min/max; whole evaluate_cartography_semantics crashes on malformed spec,10,4,1,27.78,open
Q002,22ec9c85,P1,correctness,app/lib/cartography/pdf_renderer.py,81,fig.add_artist(north),"north-arrow/legend-box Patches drawn in fig-fraction coords without transform=fig.transFigure (cf _draw_scale_bar:109) -> render as sub-pixel dot at origin; decoration silently absent in every production PDF (callers routes/map.py:288, adapters_cartography.py:199)",7,6,1,18.75,open
Q003,78ea7c7b,P2,correctness,app/lib/cartography/semantic_checks.py,1375,"est_labels = min(est_labels, cap * coverage)","top_n clamp applies coverage twice (already applied at :1359), under-counting label load vs docstring model",4,2,1,3.85,open
Q004,75f51828,P2,duplication,app/lib/cartography/semantic_checks.py,2040,check=GEOMETRY_LAYER_TYPE,"same geometry-mismatch emitted twice with different messages, defeating dedup key (:175); same pattern at 2722/2731 and 2819/2827",4,8,1,3.45,open
Q005,2b672620,P2,duplication,app/lib/cartography/semantic_checks.py,672,elif legend_field and style_field != legend_field:,LEGEND_STYLE_EQUIVALENCE error emitted twice per mismatch (block 672-686 and 694-702 both fire),4,6,1,3.57,open
Q006,64ed02d1,P2,duplication,app/lib/cartography/palettes.py,51,def _wcag_relative_luminance(hex_color),second WCAG luminance/contrast impl parallel to themes.py:26-56 with opposite invalid-color semantics; trio is test-only per grep,2,3,1,1.89,open
Q007,eaebb05d,P2,error-handling,app/lib/cartography/palettes.py,46,"if len(h) != 6: return (0.0, 0.0, 0.0)",_hex_to_rgb_float fail-opens: invalid color -> black -> contrast 21.0 false AA pass,2,2,1,1.92,open
Q008,8a0d6998,P2,duplication,app/lib/cartography/semantic_checks.py,372,functional = re.fullmatch rgba pattern,_is_supported_color hand-rolls second CSS rgb parser duplicating palettes.parse_css_color,3,5,1,2.73,open
Q009,24df870e,P2,error-handling,app/lib/cartography/semantic_checks.py,2771,"pitch = float(view.get(pitch, 0.0) or 0.0)",unguarded float() on non-numeric pitch (also max_visual_height_m :2792) crashes whole evaluator unlike rest of file guarded by _is_num,5,4,1,4.63,open
Q010,9b8fb23a,P2,error-handling,app/lib/cartography/semantic_checks.py,2835,is_monotonic = all(levels[i] < levels[i + 1] ...),unguarded compare on isoline.levels: mixed None/number TypeError; all-strings compare lexicographically ('9'>'10') silent wrong verdict,4,4,1,3.7,open
